id,origin,obs_date,sps_comm,sps,reg_id,taxon,author,lon,lat,region_long,region,status (native/alien/IAS),comments
242374341,ObsMapp,2022-05-21,Mahonie,Berberis aquifolium,177,Plantae,,2.573327065,51.09143829,Belgium,Belgium,IAS,
242405105,ObsMapp,2022-05-21,Mahonie,Berberis aquifolium,178,Plantae,,2.573042393,51.09157944,Belgium,Belgium,IAS,
242405117,ObsMapp,2022-05-21,Mahonie,Berberis aquifolium,179,Plantae,,2.572455168,51.09177017,Belgium,Belgium,IAS,
242374263,ObsMapp,2022-05-21,Mahonie,Berberis aquifolium,180,Plantae,,2.573238134,51.08969879,Belgium,Belgium,IAS,
242405116,ObsMapp,2022-05-21,Mahonie,Berberis aquifolium,181,Plantae,,2.572455168,51.09177017,Belgium,Belgium,IAS,
242405049,ObsMapp,2022-05-21,Mahonie,Berberis aquifolium,182,Plantae,,2.573242903,51.08967209,Belgium,Belgium,IAS,
242405115,ObsMapp,2022-05-21,Mahonie,Berberis aquifolium,183,Plantae,,2.572384357,51.09172821,Belgium,Belgium,IAS,
242405114,ObsMapp,2022-05-21,Mahonie,Berberis aquifolium,184,Plantae,,2.57272315,51.09168625,Belgium,Belgium,IAS,
242374311,ObsMapp,2022-05-21,Mahonie,Berberis aquifolium,185,Plantae,,2.573200703,51.09082031,Belgium,Belgium,IAS,
242405046,ObsMapp,2022-05-21,Mahonie,Berberis aquifolium,186,Plantae,,2.573377132,51.08964539,Belgium,Belgium,IAS,
242405112,ObsMapp,2022-05-21,Mahonie,Berberis aquifolium,187,Plantae,,2.572939396,51.09170151,Belgium,Belgium,IAS,
242365048,ObsMapp,2022-05-21,Mahonie,Berberis aquifolium,188,Plantae,,2.572683811,51.09170151,Belgium,Belgium,IAS,
242405111,ObsMapp,2022-05-21,Mahonie,Berberis aquifolium,189,Plantae,,2.572899818,51.09172821,Belgium,Belgium,IAS,
242349404,ObsIdentify,2022-05-21,Overblijvende ossentong,Pentaglottis sempervirens,190,Plantae,,2.5730029,51.0914573,Belgium,Belgium,alien,
